"AGE.MONTHS.F.ADULT","STATUS.F.ADULT","AGE.MONTHS.F.SUBADULT","STATUS.F.SUBADULT","AGE.MONTHS.F.JUVENILE","STATUS.F.JUVENILE"
64,1,36,1,24,1
72,1,36,1,24,1
130,1,36,1,24,1
79,1,36,1,24,1
140,1,36,1,24,1
68,0,36,1,24,1
152,1,36,1,24,1
87,0,36,1,24,1
154,0,36,1,24,1
49,0,36,1,24,1
74,0,36,1,24,1
54,0,36,1,24,1
73,0,36,1,24,1
172,1,36,1,24,1
63,0,36,1,24,1
38,0,36,1,24,1
44,0,36,1,24,1
185,0,36,1,24,1
49,0,36,1,24,1
88,0,36,1,24,1
22,1,22,1,22,1
10,1,10,1,10,1
23,1,23,1,23,1
15,0,15,0,15,0
14,0,14,0,14,0
7,0,7,0,7,0
22,0,22,0,22,0
11,0,11,0,11,0
15,1,15,1,15,1
17,0,17,0,17,0
6,1,6,1,6,1
4,1,4,1,4,1
26,1,26,1,24,1
28,1,28,1,24,1
30,0,30,0,24,1
32,1,32,1,24,1
