"ID","SEX","AGE.START.MONTHS","AGE.CLASS.START","CATEGORY.START","AGE.DEATH.MONTHS","AGE.MONTHS","CENSUS.STATUS","AGE.CLASS.DEATH","CATEGORY.DEATH","AGE.MET"
1,"MALE",5,"CUB","MALE_CUB",16,12,1,"JUVENILE","MALE_JUVENILE",0
2,"FEMALE",5,"CUB","FEMALE_CUB",26,12,1,"SUBADULT","FEMALE_SUBADULT",0
12,"FEMALE",5,"CUB","FEMALE_CUB",68,12,0,"ADULT","FEMALE_ADULT",0
13,"FEMALE",5,"CUB","FEMALE_CUB",22,12,1,"JUVENILE","FEMALE_JUVENILE",0
16,NA,3,"CUB","NA_CUB",4,4,1,"CUB","NA_CUB",1
17,"MALE",3,"CUB","MALE_CUB",4,4,1,"CUB","MALE_CUB",1
18,NA,3,"CUB","NA_CUB",4,4,1,"CUB","NA_CUB",1
20,"MALE",8,"CUB","MALE_CUB",23,12,0,"JUVENILE","MALE_JUVENILE",0
21,"FEMALE",8,"CUB","FEMALE_CUB",10,10,1,"CUB","FEMALE_CUB",1
25,"MALE",6,"CUB","MALE_CUB",60,12,0,"ADULT","MALE_ADULT",0
26,"MALE",6,"CUB","MALE_CUB",16,12,1,"JUVENILE","MALE_JUVENILE",0
27,"FEMALE",1,"CUB","FEMALE_CUB",87,12,0,"ADULT","FEMALE_ADULT",0
29,"MALE",1,"CUB","MALE_CUB",57,12,1,"ADULT","MALE_ADULT",0
32,"FEMALE",10,"CUB","FEMALE_CUB",28,12,1,"SUBADULT","FEMALE_SUBADULT",0
39,"FEMALE",4,"CUB","FEMALE_CUB",54,12,0,"ADULT","FEMALE_ADULT",0
40,"FEMALE",4,"CUB","FEMALE_CUB",23,12,1,"JUVENILE","FEMALE_JUVENILE",0
41,NA,4,"CUB","NA_CUB",4,4,0,"CUB","NA_CUB",1
42,"FEMALE",2,"CUB","FEMALE_CUB",73,12,0,"ADULT","FEMALE_ADULT",0
46,"MALE",6,"CUB","MALE_CUB",33,12,0,"SUBADULT","MALE_SUBADULT",0
47,"FEMALE",6,"CUB","FEMALE_CUB",15,12,0,"JUVENILE","FEMALE_JUVENILE",0
48,"MALE",10,"CUB","MALE_CUB",17,12,1,"JUVENILE","MALE_JUVENILE",0
50,"FEMALE",10,"CUB","FEMALE_CUB",30,12,0,"SUBADULT","FEMALE_SUBADULT",0
52,"FEMALE",1,"CUB","FEMALE_CUB",32,12,1,"SUBADULT","FEMALE_SUBADULT",0
53,NA,2,"CUB","NA_CUB",2,2,1,"CUB","NA_CUB",1
54,NA,2,"CUB","NA_CUB",2,2,1,"CUB","NA_CUB",1
55,"FEMALE",3,"CUB","FEMALE_CUB",14,12,0,"JUVENILE","FEMALE_JUVENILE",0
56,"MALE",12,"CUB","MALE_CUB",12,12,0,"CUB","MALE_CUB",1
60,"MALE",2,"CUB","MALE_CUB",13,12,0,"JUVENILE","MALE_JUVENILE",0
61,"FEMALE",2,"CUB","FEMALE_CUB",7,7,0,"CUB","FEMALE_CUB",1
62,"FEMALE",3,"CUB","FEMALE_CUB",22,12,0,"JUVENILE","FEMALE_JUVENILE",0
63,"MALE",3,"CUB","MALE_CUB",12,12,0,"CUB","MALE_CUB",1
65,"FEMALE",3,"CUB","FEMALE_CUB",11,11,0,"CUB","FEMALE_CUB",1
66,NA,3,"CUB","NA_CUB",6,6,1,"CUB","NA_CUB",1
68,"FEMALE",4,"CUB","FEMALE_CUB",15,12,1,"JUVENILE","FEMALE_JUVENILE",0
73,"MALE",3,"CUB","MALE_CUB",17,12,0,"JUVENILE","MALE_JUVENILE",0
74,"FEMALE",3,"CUB","FEMALE_CUB",17,12,0,"JUVENILE","FEMALE_JUVENILE",0
75,"MALE",7,"CUB","MALE_CUB",30,12,0,"SUBADULT","MALE_SUBADULT",0
76,"MALE",7,"CUB","MALE_CUB",29,12,0,"SUBADULT","MALE_SUBADULT",0
77,"MALE",7,"CUB","MALE_CUB",25,12,1,"SUBADULT","MALE_SUBADULT",0
78,"MALE",7,"CUB","MALE_CUB",7,7,0,"CUB","MALE_CUB",1
80,NA,2,"CUB","NA_CUB",2,2,1,"CUB","NA_CUB",1
81,NA,2,"CUB","NA_CUB",3,3,1,"CUB","NA_CUB",1
82,NA,2,"CUB","NA_CUB",3,3,1,"CUB","NA_CUB",1
83,"MALE",3,"CUB","MALE_CUB",36,12,0,"SUBADULT","MALE_SUBADULT",0
84,NA,3,"CUB","NA_CUB",4,4,1,"CUB","NA_CUB",1
85,"MALE",5,"CUB","MALE_CUB",6,6,1,"CUB","MALE_CUB",1
88,"MALE",4,"CUB","MALE_CUB",21,12,1,"JUVENILE","MALE_JUVENILE",0
89,"MALE",4,"CUB","MALE_CUB",29,12,1,"SUBADULT","MALE_SUBADULT",0
90,"FEMALE",3,"CUB","FEMALE_CUB",6,6,1,"CUB","FEMALE_CUB",1
91,NA,0,"CUB","NA_CUB",0,0,1,"CUB","NA_CUB",1
92,NA,0,"CUB","NA_CUB",0,0,1,"CUB","NA_CUB",1
94,NA,1,"CUB","NA_CUB",11,11,0,"CUB","NA_CUB",1
95,NA,1,"CUB","NA_CUB",10,10,0,"CUB","NA_CUB",1
96,"MALE",3,"CUB","MALE_CUB",8,8,0,"CUB","MALE_CUB",1
97,"FEMALE",3,"CUB","FEMALE_CUB",4,4,1,"CUB","FEMALE_CUB",1
101,NA,2,"CUB","NA_CUB",7,7,1,"CUB","NA_CUB",1
102,NA,2,"CUB","NA_CUB",7,7,1,"CUB","NA_CUB",1
104,NA,2,"CUB","NA_CUB",5,5,1,"CUB","NA_CUB",1
105,NA,2,"CUB","NA_CUB",5,5,1,"CUB","NA_CUB",1
106,NA,2,"CUB","NA_CUB",5,5,1,"CUB","NA_CUB",1
